
file: ../test/test1.xml
011 0010 0100
011 0100 0100
011 0110 0100
011 0001 0100
100 0011 0100
100 0101 0100
100 0110 0100
100 0011 0100
011 0001 0100
011 0110 0100
101 0110 0100
111 1111 0100
011 0100 0100
011 0011 0100
010 0001 0100
011 0010 0100

file: ../test/test2.xml
011 0010 0100
011 0100 0110
011 0110 0110
011 0001 0100
011 0101 0100
100 0011 0100
111 1111 0110
100 0011 0110
100 0110 0100
100 0011 0100
011 0001 0100
011 0110 0100
100 0110 0100
111 1111 0100
011 0100 0101
011 0011 0110
011 0010 0010
011 0100 0000

file: ../test/test3.xml
011 0010 0110
011 0010 0110
011 0010 0110
011 0100 0110
011 0110 0110
011 0110 0110
011 0110 0110
011 0100 0110
011 0000 0110
011 0000 0110
011 0000 0110
011 0101 0110
011 0110 0100
011 0100 0100
011 0010 0110
011 0010 0110
011 0010 0110
011 0010 0110
011 0100 0110
011 0100 0110
011 0100 0110
011 0100 0110
011 0011 0110
011 0011 0110
011 0011 0110
011 0011 0110
011 0100 0010
011 0010 0110
011 0010 0110
011 0010 0110
011 0100 0110
011 0110 0110
011 0110 0110
011 0110 0110
011 0100 0110
011 0000 0110
011 0000 0110
011 0000 0110
011 0101 0110
011 0110 0100
011 0100 0100
011 0010 0110
011 0010 0110
011 0010 0110
011 0010 0110
011 0100 0110
011 0100 0110
011 0100 0110
011 0100 0110
011 0011 0110
011 0011 0110
011 0011 0110
011 0011 0110
011 0010 0010

file: ../test/test4.xml
101 0010 0101
100 0001 0110
100 0000 0100
100 0110 0100
100 0101 0101
100 0110 0110
100 0000 0100
101 0010 0100
100 0001 0101
100 0000 0110
100 0110 0100
100 0101 0100
011 0001 0100
011 0001 0100
011 0001 0010
100 0000 0101
100 0110 0110
100 0101 0100
100 0100 0100
100 0011 0101
100 0100 0110
100 0101 0100
100 0000 0100
100 0111 0101
100 0101 0110
100 0100 0100
100 0011 0100
100 0010 0010
011 0000 0010
011 0100 0010
010 0000 0010
100 0011 0010
011 0110 0010
100 0011 0110
100 0000 0100
100 0000 0110
100 0000 0010
111 1111 0100
101 0010 0010
100 0100 0010
100 0010 0010
100 0001 0100
100 0110 0100
100 0010 0100
011 0100 0100
100 0001 0000
100 0011 0010
011 0110 0010
010 0000 0010
100 0100 0010
011 0001 0010
011 0110 0010
011 0011 0010
100 0010 0110
100 0001 0100
100 0001 0110
100 0001 0010
111 1111 0100
100 0000 0010
100 0100 0010
011 0001 0010
011 0101 0010
100 0110 0100
100 0100 0100
011 0001 0100
011 0101 0100
100 0101 0101
100 0010 0101
011 0111 0101
011 0011 0101
100 0101 0110
011 0001 0110
011 0110 0110
011 0010 0110
100 0101 0010
011 0001 0010
011 0110 0010
011 0010 0010
100 0101 0101
100 0011 0101
011 0000 0101
010 0001 0101
100 0101 0110
100 0010 0110
011 0111 0110
011 0011 0110
010 0001 0110
010 0100 0110
100 0101 0010
100 0010 0010
011 0111 0010
011 0011 0010
010 0001 0010
010 0100 0010
100 0011 0110
100 0000 0100
100 0000 0110
100 0000 0010
111 1111 0100
101 0010 0010
100 0100 0010
100 0010 0010
100 0001 0100
100 0110 0100
100 0100 0100
011 0000 0100
011 0110 0100
010 0001 0100
010 0100 0011
100 0001 0100
100 0111 0100
100 0011 0100
011 0100 0100
100 0001 0101
100 0110 0101
100 0011 0101
011 0111 0101
010 0001 0101
100 0000 0110
100 0110 0110
100 0011 0110
011 0110 0110
010 0000 0110
100 0000 0100
100 0110 0100
100 0011 0100
011 0110 0100
010 0000 0100
101 0010 0100
100 0110 0100
100 0010 0100
011 0000 0100
011 0011 0100
101 0011 0110
100 0111 0110
100 0011 0110
011 0101 0110
100 0000 0100
100 0101 0100
100 0010 0100
011 0011 0100
100 0000 0110
100 0101 0110
100 0010 0110
011 0011 0110
100 0000 0010
100 0000 0010
100 0001 0100
100 0101 0100
100 0011 0100
011 0110 0100
101 0011 0100
100 0111 0100
100 0101 0100
011 0001 0100
101 0010 0010
100 0110 0010
100 0011 0010
011 0100 0010
101 0010 0100
100 0111 0100
100 0011 0100
011 0101 0100
101 0010 0100
100 0111 0100
100 0100 0100
011 0110 0100
101 0010 0011
100 0000 0011
100 0100 0011
011 0110 0011
111 1111 0100
100 0100 0011
100 0010 0011
011 0000 0011
111 1111 0100
100 0010 0011
011 0000 0011
011 0011 0011
111 1111 0100
100 0101 0011
100 0011 0011
011 0110 0011
111 1111 0100
100 0100 0000
011 0110 0000
011 0010 0000
100 0011 0011
100 0010 0011
011 0101 0011
111 1111 0100
011 0000 0011
011 0101 0011
010 0001 0011
111 1111 0100
100 0011 0011
011 0001 0011
011 0100 0011
111 1111 0100
100 0010 0010
011 0000 0010
011 0100 0010
010 0000 0010
100 0011 0010
011 0110 0010
100 0010 0011
011 0101 0011
011 0101 0100
011 0011 0100
101 0010 0010
100 0100 0010
100 0010 0010
011 0011 0010
100 0001 0100
100 0110 0100
100 0010 0100
011 0100 0100
100 0011 0011
011 0001 0011
011 0100 0011
100 0011 0100
011 0111 0100
010 0001 0100
100 0011 0010
011 0110 0010
010 0000 0010
100 0100 0010
011 0001 0010
011 0110 0010
011 0011 0010
011 0101 0011
011 0011 0011
100 0010 0100
